Кутузова,29,0.000358733
та,29,0.000358733
армию,29,0.000358733
ж,29,0.000358733
против,29,0.000358733
Они,29,0.000358733
свои,29,0.000358733
люди,29,0.000358733
говорили,29,0.000358733
Ипполит,29,0.000358733
видеть,29,0.000358733
комнате,28,0.000346363
comme,28,0.000346363
армии,28,0.000346363
виконт,28,0.000346363
Мы,28,0.000346363
tout,28,0.000346363
мире,28,0.000346363
У,28,0.000346363
руками,28,0.000346363
женщины,28,0.000346363
друга,28,0.000346363
штаб,27,0.000333993
двух,27,0.000333993
c,27,0.000333993
понимаю,27,0.000333993
голос,27,0.000333993
Тел,27,0.000333993
говорю,27,0.000333993
тот,27,0.000333993
думаю,27,0.000333993
день,27,0.000333993
слово,27,0.000333993
других,27,0.000333993
другие,27,0.000333993
объ,27,0.000333993
казалось,27,0.000333993
слишком,27,0.000333993
dans,26,0.000321623
жело,26,0.000321623
ч,26,0.000321623
собой,26,0.000321623
лись,26,0.000321623
кого,26,0.000321623
комнаты,26,0.000321623
Мне,26,0.000321623
тьс,26,0.000321623
сме,26,0.000321623
О,26,0.000321623
голосом,26,0.000321623
жны,26,0.000321623
выражением,26,0.000321623
кажетс,26,0.000321623
проговорил,25,0.000309253
si,25,0.000309253
знал,25,0.000309253
Васили,25,0.000309253
лучше,25,0.000309253
сына,25,0.000309253
прибавил,25,0.000309253
своими,25,0.000309253
видел,25,0.000309253
рукой,25,0.000309253
2,24,0.000296883
cher,24,0.000296883
тому,24,0.000296883
весело,24,0.000296883
лицом,24,0.000296883
всей,24,0.000296883
своем,24,0.000296883
таким,24,0.000296883
совершенно,24,0.000296883
остановилс,24,0.000296883
головой,24,0.000296883
улыбнулс,24,0.000296883
выражение,24,0.000296883
них,24,0.000296883
батюшка,23,0.000284513
Граф,23,0.000284513
никто,23,0.000284513
лошадь,23,0.000284513
Очень,23,0.000284513
такие,23,0.000284513
адъютант,23,0.000284513
быстро,23,0.000284513
кроме,23,0.000284513
солдаты,23,0.000284513
сюда,23,0.000284513
засме,23,0.000284513
нельз,23,0.000284513
видом,23,0.000284513
нынче,23,0.000284513
гостиной,23,0.000284513
тогда,22,0.000272142
Денисова,22,0.000272142
лась,22,0.000272142
Анны,22,0.000272142
право,22,0.000272142
одной,22,0.000272142
посмотрел,22,0.000272142
около,22,0.000272142
России,22,0.000272142
молодого,22,0.000272142
полк,22,0.000272142
говорите,22,0.000272142
тихо,22,0.000272142
Когда,22,0.000272142
этим,22,0.000272142
хотите,22,0.000272142
подумал,22,0.000272142
По,22,0.000272142
C,22,0.000272142
той,21,0.000259772
видно,21,0.000259772
место,21,0.000259772
тел,21,0.000259772
жизнь,21,0.000259772
крикнул,21,0.000259772
матери,21,0.000259772
такой,21,0.000259772
ai,21,0.000259772
вид,21,0.000259772
отец,21,0.000259772
которым,21,0.000259772
моста,21,0.000259772
ет,21,0.000259772
bien,21,0.000259772
prince,21,0.000259772
первый,21,0.000259772
tr,21,0.000259772
тыс,21,0.000259772
Ah,21,0.000259772
свой,21,0.000259772
зачем,20,0.000247402
son,20,0.000247402
буду,20,0.000247402
строго,20,0.000247402
дел,20,0.000247402
войска,20,0.000247402
стол,20,0.000247402
те,20,0.000247402
командира,20,0.000247402
тотчас,20,0.000247402
moi,20,0.000247402
votre,20,0.000247402
ну,20,0.000247402
прибавила,20,0.000247402
слов,20,0.000247402
Безухова,20,0.000247402
давно,20,0.000247402
времени,20,0.000247402
хоз,20,0.000247402
ло,20,0.000247402
своею,20,0.000247402
три,20,0.000247402
гостиную,19,0.000235032
пошел,19,0.000235032
плечами,19,0.000235032
Из,19,0.000235032
знать,19,0.000235032
дома,19,0.000235032
Анатоль,19,0.000235032
ю,19,0.000235032
t,19,0.000235032
вышла,19,0.000235032
старый,19,0.000235032
сейчас,19,0.000235032
дать,19,0.000235032
Теперь,19,0.000235032
еtе,19,0.000235032
какое,19,0.000235032
тно,19,0.000235032
св,19,0.000235032
говорит,19,0.000235032
насто,19,0.000235032
де,19,0.000235032
Vous,19,0.000235032
должен,19,0.000235032
Войне,19,0.000235032
своему,19,0.000235032
Графин,19,0.000235032
минуты,18,0.000222662
сторон,18,0.000222662
Жюли,18,0.000222662
очевидно,18,0.000222662
гр,18,0.000222662
положение,18,0.000222662
чувство,18,0.000222662
главнокомандующего,18,0.000222662
какой,18,0.000222662
вошел,18,0.000222662
Il,18,0.000222662
То,18,0.000222662
бо,18,0.000222662
могла,18,0.000222662
гость,18,0.000222662
блест,18,0.000222662
За,18,0.000222662
моего,18,0.000222662
весь,18,0.000222662
свете,18,0.000222662
стороны,18,0.000222662
полковой,18,0.000222662
кошелек,18,0.000222662
Дмитриевна,18,0.000222662
голоса,18,0.000222662
иногда,18,0.000222662
всё,18,0.000222662
вечер,18,0.000222662
ко,18,0.000222662
ума,18,0.000222662
имел,18,0.000222662
наконец,18,0.000222662
текст,18,0.000222662
y,18,0.000222662
такое,18,0.000222662
Andrе,18,0.000222662
кабинет,18,0.000222662
смотрели,18,0.000222662
старого,18,0.000222662
положении,18,0.000222662
сказали,17,0.000210292
